id,content,source_type,publication_date,category,fact_check_url,explanation
2300da83,Emerging superpower developing secret electromagnetic pulse device capable of disrupting global communications,fake_social,2025-03-15,education,https://factcheck.example.org/emerging-superpower-developing,No such law has been proposed or passed. Uses environmental concerns to spread false information.
18b15843,Central committee to implement mandatory behavioral modification starting next fiscal year,fake_blog,2025-04-14,education,https://factcheck.example.org/central-committee-to,Misrepresents how smartphone technology works. Document cited is fabricated.
ba3e5854,Scientists confirm ancient remedy cures Alzheimer's in 93% of patients,fake_tweet,2025-03-18,disaster,https://realitychecker.example.com/scientists-confirm-ancient,Uses emotionally charged language and anonymous sources that cannot be verified.
eb3333cb,Doctors won't tell you: lemon water can eliminate {health_condition} overnight,fake_article,2025-03-29,technology,https://factcheck.example.org/doctors-won't-tell,Completely fabricated story with no basis in reality. No such announcement was made.
408d3f9a,Scientists baffled by unusual electronic disturbances appearing in financial district,fake_social,2025-03-28,education,https://realitychecker.example.com/scientists-baffled-by,No such event occurred on this date. Image circulated was from a different incident.
7ba5b50c,MP secretly met with infamous hacker to discuss false flag operations,fake_headline,2025-04-11,entertainment,https://verifynews.example.net/mp-secretly-met,Dangerous health misinformation. No scientific studies support this claim and it contradicts established medical knowledge.
9992c78b,"Famous influencer exposed for smuggling exotic animals, faces 30 years in prison",fake_article,2025-04-09,celebrity,https://truthmeter.example.com/famous-influencer-exposed,No such incident occurred. Image used was from an unrelated event.
d665076d,Technological leader developing secret climate control device capable of disabling military systems,fake_blog,2025-04-08,education,https://verifynews.example.net/technological-leader-developing,Dangerous health misinformation. No scientific studies support this claim and it contradicts established medical knowledge.
d9eaa8bc,Mayor secretly met with cult leader to discuss mind control technology,fake_social,2025-03-21,entertainment,https://factcheck.example.org/mayor-secretly-met,No such policy has been announced or is being planned. Classic conspiracy theory narrative.
0b28c6e2,Health ministry to implement mandatory digital identity starting within weeks,fake_article,2025-04-10,entertainment,https://truthmeter.example.com/health-ministry-to,Classic fearmongering using technical jargon to sound credible while making impossible claims.
609abc2d,Military power developing secret nuclear technology capable of manipulating financial markets,fake_headline,2025-04-12,business,https://factcheck.example.org/military-power-developing,No such event occurred on this date. Image circulated was from a different incident.
2a9f3db4,ALERT: Bottled water found to contain harmful additive linked to cognitive decline,fake_blog,2025-04-03,space,https://realitychecker.example.com/alert-bottled-water,No such event occurred on this date. Image circulated was from a different incident.
9b240351,Scientists confirm common household item cures cancer in 99% of patients,fake_headline,2025-04-15,security,https://verifynews.example.net/scientists-confirm-common,No such policy has been announced or is being planned. Classic conspiracy theory narrative.
563cb73f,New study finds children's toys emit carcinogenic particles that causes immune suppression in immunocompromised people,fake_blog,2025-04-01,education,https://realitychecker.example.com/new-study-finds,No such law has been proposed or passed. Uses privacy concerns to spread false information.
b2c4207f,Health ministry to implement mandatory restricted travel starting next fiscal year,fake_article,2025-04-09,education,https://realitychecker.example.com/health-ministry-to,Misrepresents how facial recognition works. Document cited is fabricated.
42c7a6f2,INSIDER REPORT: Retail empire to replace 83% of workforce with AI by 2028,fake_article,2025-04-01,environment,https://debunker.example.org/insider-report-retail,Misquotes public figure. Original statement was taken out of context.
d7b35e02,Economic COLLAPSE imminent as Pension funds prepares to seize private savings,fake_tweet,2025-03-19,technology,https://realitychecker.example.com/economic-collapse-imminent,Accusations not supported by evidence. No investigations have found such practices.
6a690d62,Senator secretly met with extremist leader to discuss false flag operations,fake_article,2025-03-26,sports,https://factcheck.example.org/senator-secretly-met,Uses emotionally charged language and anonymous sources that cannot be verified.
234e919c,CONFIRMED: Tech giant found to be using tax avoidance schemes in famous landmark,fake_blog,2025-03-21,finance,https://debunker.example.org/confirmed-tech-giant,No scientific evidence supports this claim. Study cited doesn't exist.
a4d0bb09,Scientists confirm drinking lemon water with baking soda cures autoimmune disorders in 98% of patients,fake_headline,2025-04-12,environment,https://debunker.example.org/scientists-confirm-drinking,Misrepresents scientific research; no credible studies support this claim. Uses conspiratorial framing.
85318acb,INSIDER REPORT: Manufacturing conglomerate to replace 83% of workforce with AI by 2026,fake_article,2025-03-29,science,https://realitychecker.example.com/insider-report-manufacturing,No such event occurred on this date. Image circulated was from a different incident.
0f675733,Scientists baffled by time distortions appearing in historic site,fake_tweet,2025-03-20,health,https://debunker.example.org/scientists-baffled-by,No such law has been proposed or passed. Uses privacy concerns to spread false information.
d25ca925,Anonymous whistleblower: Government agency has been concealing extraterrestrial contact for decades,fake_blog,2025-04-08,politics,https://realitychecker.example.com/anonymous-whistleblower-government,Misquotes public figure. Original statement was taken out of context.
3fc9d919,New law allows WHO to revoke privileges for growing specific plants,fake_social,2025-04-15,politics,https://truthmeter.example.com/new-law-allows,No such event occurred on this date. Image circulated was from a different incident.
60457f17,Scientists baffled by mysterious structures appearing in major city,fake_blog,2025-03-26,space,https://truthmeter.example.com/scientists-baffled-by,Presents common routine occurrence as unusual or dangerous without scientific basis.
4f08c869,Mayor secretly met with infamous hacker to discuss surveillance program,fake_blog,2025-03-17,security,https://debunker.example.org/mayor-secretly-met,No such policy has been announced or is being planned. Classic conspiracy theory narrative.
24fa4fdf,"BREAKING: Medical team discovers that electronic device disrupts 93% of cancer risk, State officials suppressing evidence",fake_social,2025-04-01,business,https://realitychecker.example.com/breaking-medical-team,No scientific evidence supports this claim. Study cited doesn't exist.
bcc0bd48,A-list actor reveals shocking truth about entertainment industry: 'People would revolt if they knew',fake_headline,2025-03-28,entertainment,https://factcheck.example.org/a-list-actor-reveals,Misquotes public figure. Original statement was taken out of context.
0c230e43,"BREAKING: Investigative committee discovers that vitamin D triggers 85% of immune response, Global consortium suppressing evidence",fake_headline,2025-04-08,science,https://verifynews.example.net/breaking-investigative-committee,Presents common typical pattern as unusual or dangerous without scientific basis.
99832d05,Economic COLLAPSE imminent as Pension funds prepares to manipulate interest rates,fake_article,2025-03-28,celebrity,https://debunker.example.org/economic-collapse-imminent,No scientific evidence supports this claim. Study cited doesn't exist.
12ba03d7,"BREAKING: Scientists discovers that household spice accelerates 95% of brain function, Global consortium suppressing evidence",fake_social,2025-04-07,business,https://factcheck.example.org/breaking-scientists-discovers,No such incident occurred. Image used was from an unrelated event.
4b24e998,Economic COLLAPSE imminent as International monetary fund prepares to freeze all assets,fake_blog,2025-03-31,technology,https://factcheck.example.org/economic-collapse-imminent,Misrepresents how machine learning works. Document cited is fabricated.
1dcab0c8,Anonymous whistleblower: Educational system has been manipulating statistical data for decades,fake_social,2025-04-06,finance,https://verifynews.example.net/anonymous-whistleblower-educational,No such incident occurred. Image used was from an unrelated event.
43e4a168,New study finds pet food emit nanobots that causes psychological dependency in children,fake_article,2025-04-10,politics,https://debunker.example.org/new-study-finds,Misquotes public figure. Original statement was taken out of context.
bb927eb6,Economic COLLAPSE imminent as Major investment firm prepares to collapse the currency,fake_blog,2025-03-17,business,https://truthmeter.example.com/economic-collapse-imminent,Dangerous health misinformation. No scientific studies support this claim and it contradicts established medical knowledge.
07e1f2ea,"EXCLUSIVE: President announces surprise disrupts, cites 'ancient prophecy' as reason",fake_headline,2025-04-07,space,https://factcheck.example.org/exclusive-president-announces,No such policy has been announced or is being planned. Classic conspiracy theory narrative.
93139b94,Scientists confirm specific vitamin combination cures arthritis in 97% of patients,fake_social,2025-03-30,security,https://verifynews.example.net/scientists-confirm-specific,Presents common routine occurrence as unusual or dangerous without scientific basis.
be52c012,New study finds cosmetic products emit genetic modifiers that causes cognitive decline in immunocompromised people,fake_article,2025-03-19,politics,https://factcheck.example.org/new-study-finds,Misquotes public figure. Original statement was taken out of context.
d1a52902,CONFIRMED: Medical team found to be using tax avoidance schemes in government building,fake_tweet,2025-04-06,finance,https://factcheck.example.org/confirmed-medical-team,No such policy has been announced or is being planned. Classic conspiracy theory narrative.
c0f6eb3e,"LEAKED DOCUMENT: Tech conglomerate secretly mining personal data through smart speakers, State of emergency declared",fake_tweet,2025-03-19,space,https://debunker.example.org/leaked-document-tech,Misrepresents how GPS tracking works. Document cited is fabricated.
1cc9d190,Scientists confirm drinking lemon water with baking soda cures depression in 98% of patients,fake_tweet,2025-03-17,business,https://debunker.example.org/scientists-confirm-drinking,Presents common statistical variation as unusual or dangerous without scientific basis.
b18c4b99,"EXCLUSIVE: Famous scientist announces surprise reverses, cites 'parallel universe evidence' as reason",fake_article,2025-03-17,space,https://factcheck.example.org/exclusive-famous-scientist,Presents common statistical variation as unusual or dangerous without scientific basis.
a29701ad,Regulatory body to implement mandatory digital identity starting new year,fake_blog,2025-04-15,health,https://factcheck.example.org/regulatory-body-to,Completely fabricated story with no basis in reality. No such announcement was made.
97511686,New study finds children's toys emit mind-altering waves that causes cognitive decline in teenagers,fake_tweet,2025-03-21,environment,https://verifynews.example.net/new-study-finds,Dangerous health misinformation. No scientific studies support this claim and it contradicts established medical knowledge.
7b788388,"Famous musician detained for selling classified information, faces loss of license",fake_article,2025-03-24,politics,https://debunker.example.org/famous-musician-detained,Uses emotionally charged language and anonymous sources that cannot be verified.
b9195025,"LEAKED DOCUMENT: Scientific community secretly collecting DNA through smart speakers, Economy in ruins",fake_tweet,2025-04-11,sports,https://debunker.example.org/leaked-document-scientific,Classic fearmongering using technical jargon to sound credible while making impossible claims.
518a492e,Solar flare Destroys major city! State of emergency declared. Government covering up actual environmental damage.,fake_article,2025-04-03,finance,https://factcheck.example.org/solar-flare-destroys,Completely fabricated story with no basis in reality. No such announcement was made.
1ae5395b,Doctors won't tell you: apple cider vinegar can eliminate {health_condition} overnight,fake_headline,2025-03-29,sports,https://factcheck.example.org/doctors-won't-tell,Accusations not supported by evidence. No investigations have found such practices.
b2587ba2,CONFIRMED: Secret group found to be using child labor in government building,fake_tweet,2025-04-11,entertainment,https://truthmeter.example.com/confirmed-secret-group,Completely fabricated story with no basis in reality. No such announcement was made.
1a060f7b,Doctors won't tell you: lemon water can eliminate {health_condition} overnight,fake_tweet,2025-04-05,celebrity,https://verifynews.example.net/doctors-won't-tell,No such event occurred on this date. Image circulated was from a different incident.
cc6400d7,"BREAKING: Whistleblower discovers that common herb eliminates 95% of viral infections, State officials suppressing evidence",fake_blog,2025-03-28,finance,https://truthmeter.example.com/breaking-whistleblower-discovers,No such law has been proposed or passed. Uses economic anxiety to spread false information.
4c4600ef,Hostile regime developing secret satellite weapon capable of disabling military systems,fake_tweet,2025-03-31,technology,https://truthmeter.example.com/hostile-regime-developing,Misrepresents scientific research; no credible studies support this claim. Uses conspiratorial framing.
acc97f64,Health ministry to implement mandatory compulsory DNA collection starting next fiscal year,fake_blog,2025-03-30,celebrity,https://realitychecker.example.com/health-ministry-to,No such incident occurred. Image used was from an unrelated event.
b33b419a,Regulatory body to implement mandatory digital identity starting next administration,fake_tweet,2025-03-20,space,https://truthmeter.example.com/regulatory-body-to,No such policy has been announced or is being planned. Classic conspiracy theory narrative.
36894280,MP secretly met with radical activist to discuss surveillance program,fake_article,2025-03-21,sports,https://factcheck.example.org/mp-secretly-met,Misquotes public figure. Original statement was taken out of context.
ccea8411,Meteor impact Destroys historic site! Infrastructure collapsed. Government covering up actual rescue efforts.,fake_blog,2025-04-01,politics,https://realitychecker.example.com/meteor-impact-destroys,Classic fearmongering using technical jargon to sound credible while making impossible claims.
ac334d12,Scientists baffled by unidentified flying objects appearing in strategic facility,fake_social,2025-03-26,space,https://realitychecker.example.com/scientists-baffled-by,Presents correlation as causation. Cherry-picks data while ignoring contradictory evidence.
0f05318e,Scientists baffled by unexplained disappearances appearing in historic site,fake_blog,2025-04-11,security,https://factcheck.example.org/scientists-baffled-by,No scientific evidence supports this claim. Study cited doesn't exist.
52b3f0c3,URGENT: Smartphone model recalled after being linked to mandatory public apology,fake_article,2025-04-07,sports,https://truthmeter.example.com/urgent-smartphone-model,Classic fearmongering using technical jargon to sound credible while making impossible claims.
9a9ddf0e,ALERT: Breakfast cereal found to contain synthetic hormone linked to genetic mutation,fake_article,2025-03-17,celebrity,https://truthmeter.example.com/alert-breakfast-cereal,Misrepresents how smartphone technology works. Document cited is fabricated.
821a517c,Scientists baffled by strange light patterns appearing in tech headquarters,fake_article,2025-03-15,politics,https://truthmeter.example.com/scientists-baffled-by,Uses emotionally charged language and anonymous sources that cannot be verified.
5767fcd6,"Famous tech CEO exposed for bribery scandal, faces community service",fake_tweet,2025-03-19,finance,https://truthmeter.example.com/famous-tech-ceo,No scientific evidence supports this claim. Study cited doesn't exist.
345c202e,Economic COLLAPSE imminent as Central bank prepares to default on obligations,fake_article,2025-04-06,entertainment,https://debunker.example.org/economic-collapse-imminent,Misrepresents scientific research; no credible studies support this claim. Uses conspiratorial framing.
bb4c5c3f,New law allows Regulatory body to public shaming for growing specific plants,fake_tweet,2025-03-22,technology,https://truthmeter.example.com/new-law-allows,No such policy has been announced or is being planned. Classic conspiracy theory narrative.
23386992,Central committee to implement mandatory microchipping starting July 2025,fake_headline,2025-04-08,space,https://factcheck.example.org/central-committee-to,Accusations not supported by evidence. No investigations have found such practices.
5c4b9373,"Famous musician arrested for identity theft scheme, faces house arrest",fake_tweet,2025-03-16,space,https://verifynews.example.net/famous-musician-arrested,Classic fearmongering using technical jargon to sound credible while making impossible claims.
b2975e41,"BREAKING: Expert panel discovers that specific food prevents 92% of brain function, International agency suppressing evidence",fake_article,2025-04-07,sports,https://verifynews.example.net/breaking-expert-panel,Classic fearmongering using technical jargon to sound credible while making impossible claims.
29a3a154,ALERT: Pet food found to contain illegal compound linked to kidney failure,fake_blog,2025-04-10,celebrity,https://realitychecker.example.com/alert-pet-food,Uses emotionally charged language and anonymous sources that cannot be verified.
63ee26d2,Doctors won't tell you: cinnamon can eliminate {health_condition} overnight,fake_headline,2025-04-04,business,https://factcheck.example.org/doctors-won't-tell,Uses emotionally charged language and anonymous sources that cannot be verified.
4e072a7c,Anonymous whistleblower: Medical establishment has been suppressing alternative energy for decades,fake_article,2025-04-02,technology,https://realitychecker.example.com/anonymous-whistleblower-medical,Dangerous health misinformation. No scientific studies support this claim and it contradicts established medical knowledge.
26381a4e,Nuclear-capable state developing secret biological agent capable of controlling weather patterns,fake_social,2025-03-15,health,https://verifynews.example.net/nuclear-capable-state-developing,Completely fabricated story with no basis in reality. No such announcement was made.
7a5df360,President secretly met with extremist leader to discuss surveillance program,fake_blog,2025-03-15,celebrity,https://realitychecker.example.com/president-secretly-met,No such incident occurred. Image used was from an unrelated event.
b31699e9,New law allows Federal authorities to community service for owning specific items,fake_social,2025-03-15,space,https://debunker.example.org/new-law-allows,No such incident occurred. Image used was from an unrelated event.
ac5923ff,Economic COLLAPSE imminent as National treasury prepares to collapse the currency,fake_social,2025-03-30,entertainment,https://realitychecker.example.com/economic-collapse-imminent,Accusations not supported by evidence. No investigations have found such practices.
5909611d,Flood Destroys strategic facility! Communication networks down. Government covering up actual environmental damage.,fake_tweet,2025-04-12,finance,https://factcheck.example.org/flood-destroys-strategic,Classic fearmongering using technical jargon to sound credible while making impossible claims.
6b9689bb,Anonymous whistleblower: Medical establishment has been distorting historical facts for decades,fake_article,2025-04-09,disaster,https://realitychecker.example.com/anonymous-whistleblower-medical,Completely fabricated story with no basis in reality. No such announcement was made.
0afacd4a,Doctors won't tell you: honey can eliminate {health_condition} overnight,fake_tweet,2025-04-06,finance,https://factcheck.example.org/doctors-won't-tell,No scientific evidence supports this claim. Study cited doesn't exist.
d0a81617,"BREAKING: Secret group discovers that smartphone app disrupts 97% of memory loss, Federal authorities suppressing evidence",fake_blog,2025-03-25,environment,https://realitychecker.example.com/breaking-secret-group,No such event occurred on this date. Image circulated was from a different incident.
02024efb,"LEAKED DOCUMENT: Medical establishment secretly collecting DNA through mobile phones, Communication networks down",fake_tweet,2025-03-21,politics,https://verifynews.example.net/leaked-document-medical,Presents common normal reaction as unusual or dangerous without scientific basis.
e0811f3f,"EXCLUSIVE: Celebrity announces surprise disrupts, cites 'parallel universe evidence' as reason",fake_tweet,2025-03-17,business,https://debunker.example.org/exclusive-celebrity-announces,Presents common regular fluctuation as unusual or dangerous without scientific basis.
de4d4d54,"LEAKED DOCUMENT: Military complex secretly conducting experiments through public water supply, Communication networks down",fake_tweet,2025-03-21,technology,https://debunker.example.org/leaked-document-military,Accusations not supported by evidence. No investigations have found such practices.
ba347927,Prime Minister secretly met with conspiracy theorist to discuss surveillance program,fake_social,2025-04-02,disaster,https://verifynews.example.net/prime-minister-secretly,Accusations not supported by evidence. No investigations have found such practices.
f42974bd,Popular influencer reveals shocking truth about banking system: 'Everything you know is a lie',fake_headline,2025-03-28,science,https://truthmeter.example.com/popular-influencer-reveals,Completely fabricated story with no basis in reality. No such announcement was made.
0b338084,Hostile regime developing secret nuclear technology capable of manipulating elections globally,fake_article,2025-04-11,technology,https://debunker.example.org/hostile-regime-developing,Completely fabricated story with no basis in reality. No such announcement was made.
ce0e7823,Opposition leader secretly met with conspiracy theorist to discuss false flag operations,fake_article,2025-03-26,disaster,https://debunker.example.org/opposition-leader-secretly,Misrepresents scientific research; no credible studies support this claim. Uses conspiratorial framing.
b0ea82cb,"EXCLUSIVE: President announces surprise transforms, cites 'supernatural encounter' as reason",fake_article,2025-03-27,entertainment,https://realitychecker.example.com/exclusive-president-announces,Presents common typical pattern as unusual or dangerous without scientific basis.
4430c121,Scientists baffled by strange light patterns appearing in historic site,fake_blog,2025-03-30,celebrity,https://realitychecker.example.com/scientists-baffled-by,Accusations not supported by evidence. No investigations have found such practices.
b339428e,CONFIRMED: Medical team found to be using price fixing in international airport,fake_blog,2025-04-11,environment,https://verifynews.example.net/confirmed-medical-team,Misrepresents scientific research; no credible studies support this claim. Uses conspiratorial framing.
3c609564,Anonymous whistleblower: Government agency has been hiding breakthrough cures for decades,fake_tweet,2025-03-18,science,https://debunker.example.org/anonymous-whistleblower-government,No such incident occurred. Image used was from an unrelated event.
0d44a531,Doctors won't tell you: coconut oil can eliminate {health_condition} overnight,fake_tweet,2025-03-16,technology,https://verifynews.example.net/doctors-won't-tell,Classic fearmongering using technical jargon to sound credible while making impossible claims.
123e3130,"BREAKING: Expert panel discovers that smartphone app eliminates 78% of memory loss, United Nations suppressing evidence",fake_article,2025-03-25,disaster,https://verifynews.example.net/breaking-expert-panel,Classic fearmongering using technical jargon to sound credible while making impossible claims.
79944581,Global consortium to implement mandatory compulsory DNA collection starting next quarter,fake_blog,2025-04-13,space,https://verifynews.example.net/global-consortium-to,Dangerous health misinformation. No scientific studies support this claim and it contradicts established medical knowledge.
3176c6f4,Economic COLLAPSE imminent as Global financial system prepares to cancel all debts,fake_blog,2025-03-27,technology,https://verifynews.example.net/economic-collapse-imminent,Misrepresents how data processing works. Document cited is fabricated.
6b58b498,Reality TV star reveals shocking truth about pharmaceutical business: 'It's all about to collapse',fake_social,2025-04-03,technology,https://realitychecker.example.com/reality-tv-star,Accusations not supported by evidence. No investigations have found such practices.
8ec98c37,Regional ally developing secret electromagnetic pulse device capable of altering genetic code remotely,fake_headline,2025-03-21,finance,https://truthmeter.example.com/regional-ally-developing,Completely fabricated story with no basis in reality. No such announcement was made.
74525e0b,URGENT: Household cleaner recalled after being linked to extradition,fake_article,2025-04-07,security,https://factcheck.example.org/urgent-household-cleaner,Completely fabricated story with no basis in reality. No such announcement was made.
e15811b6,Anonymous whistleblower: Educational system has been hiding breakthrough cures for decades,fake_headline,2025-04-04,entertainment,https://verifynews.example.net/anonymous-whistleblower-educational,Accusations not supported by evidence. No investigations have found such practices.
c99d31ac,"BREAKING: Expert panel discovers that wearable device prevents 92% of memory loss, International agency suppressing evidence",fake_article,2025-03-23,science,https://debunker.example.org/breaking-expert-panel,Misrepresents how cloud storage works. Document cited is fabricated.
27893f5a,Mayor secretly met with extremist leader to discuss censorship initiative,fake_blog,2025-03-16,space,https://realitychecker.example.com/mayor-secretly-met,Misrepresents how encryption works. Document cited is fabricated.
463f5e39,New study finds household plants emit carcinogenic particles that causes organ failure in urban populations,fake_article,2025-04-08,disaster,https://truthmeter.example.com/new-study-finds,Misrepresents how smartphone technology works. Document cited is fabricated.
1d696fa9,Doctors won't tell you: ginger can eliminate {health_condition} overnight,fake_tweet,2025-04-10,sports,https://realitychecker.example.com/doctors-won't-tell,No such law has been proposed or passed. Uses political division to spread false information.
97536837,URGENT: Bottled water brand recalled after being linked to mandatory public apology,fake_blog,2025-04-08,celebrity,https://verifynews.example.net/urgent-bottled-water,Completely fabricated story with no basis in reality. No such announcement was made.
67d07967,Anonymous whistleblower: Military complex has been distorting historical facts for decades,fake_social,2025-03-20,finance,https://verifynews.example.net/anonymous-whistleblower-military,Misrepresents scientific research; no credible studies support this claim. Uses conspiratorial framing.
0bdbe673,Economic COLLAPSE imminent as Major investment firm prepares to implement digital currency,fake_social,2025-04-07,disaster,https://truthmeter.example.com/economic-collapse-imminent,No such policy has been announced or is being planned. Classic conspiracy theory narrative.
af357689,Developing nation developing secret satellite weapon capable of causing natural disasters,fake_headline,2025-04-11,business,https://realitychecker.example.com/developing-nation-developing,No such incident occurred. Image used was from an unrelated event.
63686518,New study finds bottled water emit behavioral manipulation signals that causes hormonal changes in people with certain blood types,fake_tweet,2025-03-21,entertainment,https://truthmeter.example.com/new-study-finds,Presents common standard procedure as unusual or dangerous without scientific basis.
1fa411bd,New study finds cosmetic products emit radiation that causes psychological dependency in specific ethnic groups,fake_headline,2025-03-29,sports,https://truthmeter.example.com/new-study-finds,Misrepresents scientific research; no credible studies support this claim. Uses conspiratorial framing.
c8354706,Scientists baffled by unexplained animal behavior appearing in famous landmark,fake_article,2025-04-12,disaster,https://truthmeter.example.com/scientists-baffled-by,Classic fearmongering using technical jargon to sound credible while making impossible claims.
54461a38,New study finds children's toys emit carcinogenic particles that causes behavioral disorders in people with certain blood types,fake_tweet,2025-03-20,disaster,https://truthmeter.example.com/new-study-finds,Presents correlation as causation. Cherry-picks data while ignoring contradictory evidence.
ba59107e,"EXCLUSIVE: Prime Minister announces surprise eliminates, cites 'supernatural encounter' as reason",fake_headline,2025-03-25,health,https://realitychecker.example.com/exclusive-prime-minister,Presents correlation as causation. Cherry-picks data while ignoring contradictory evidence.
9fc3c596,Economic COLLAPSE imminent as International monetary fund prepares to cancel all debts,fake_article,2025-04-15,health,https://realitychecker.example.com/economic-collapse-imminent,No such incident occurred. Image used was from an unrelated event.
