ID,Modality,Content,Label,Source,Explanation,Category,Date
4877be3c,Text,Anonymous whistleblower: Tech conglomerate has been concealing extraterrestrial contact for decades,Fake,,Uses emotionally charged language and anonymous sources that cannot be verified.,health,2025-04-09
ccc27a52,Text,"Famous tech CEO investigated for identity theft scheme, faces international sanctions",Fake,,No scientific evidence supports this claim. Study cited doesn't exist.,celebrity,2025-04-12
fc24ec52,Text,URGENT: Bottled water brand recalled after being linked to loss of license,Fake,,Classic fearmongering using technical jargon to sound credible while making impossible claims.,politics,2025-04-08
7ff2f736,Text,"BREAKING: Medical team discovers that household spice triggers 95% of genetic disorders, State officials suppressing evidence",Fake,,Dangerous health misinformation. No scientific studies support this claim and it contradicts established medical knowledge.,environment,2025-03-17
f41cdee6,Text,"LEAKED DOCUMENT: Tech conglomerate secretly influencing decisions through mobile phones, Emergency services overwhelmed",Fake,,No such policy has been announced or is being planned. Classic conspiracy theory narrative.,science,2025-04-03
3d91aa22,Text,Meteor impact Destroys government building! Thousands trapped inside. Government covering up actual recovery timeline.,Fake,,No such event occurred on this date. Image circulated was from a different incident.,environment,2025-03-24
caf1c688,Text,Doctors won't tell you: coconut oil can eliminate {health_condition} overnight,Fake,,Completely fabricated story with no basis in reality. No such announcement was made.,technology,2025-04-03
37845254,Text,Popular influencer reveals shocking truth about media empires: 'People would revolt if they knew',Fake,,Misrepresents how facial recognition works. Document cited is fabricated.,health,2025-04-13
1fc9aaa0,Text,Reality TV star reveals shocking truth about sports business: 'The cover-up is massive',Fake,,No scientific evidence supports this claim. Study cited doesn't exist.,politics,2025-04-15
2300da83,Text,Emerging superpower developing secret electromagnetic pulse device capable of disrupting global communications,Fake,,No such law has been proposed or passed. Uses environmental concerns to spread false information.,education,2025-03-15
18b15843,Text,Central committee to implement mandatory behavioral modification starting next fiscal year,Fake,,Misrepresents how smartphone technology works. Document cited is fabricated.,education,2025-04-14
ba3e5854,Text,Scientists confirm ancient remedy cures Alzheimer's in 93% of patients,Fake,,Uses emotionally charged language and anonymous sources that cannot be verified.,disaster,2025-03-18
eb3333cb,Text,Doctors won't tell you: lemon water can eliminate {health_condition} overnight,Fake,,Completely fabricated story with no basis in reality. No such announcement was made.,technology,2025-03-29
408d3f9a,Text,Scientists baffled by unusual electronic disturbances appearing in financial district,Fake,,No such event occurred on this date. Image circulated was from a different incident.,education,2025-03-28
7ba5b50c,Text,MP secretly met with infamous hacker to discuss false flag operations,Fake,,Dangerous health misinformation. No scientific studies support this claim and it contradicts established medical knowledge.,entertainment,2025-04-11
9992c78b,Text,"Famous influencer exposed for smuggling exotic animals, faces 30 years in prison",Fake,,No such incident occurred. Image used was from an unrelated event.,celebrity,2025-04-09
d665076d,Text,Technological leader developing secret climate control device capable of disabling military systems,Fake,,Dangerous health misinformation. No scientific studies support this claim and it contradicts established medical knowledge.,education,2025-04-08
d9eaa8bc,Text,Mayor secretly met with cult leader to discuss mind control technology,Fake,,No such policy has been announced or is being planned. Classic conspiracy theory narrative.,entertainment,2025-03-21
0b28c6e2,Text,Health ministry to implement mandatory digital identity starting within weeks,Fake,,Classic fearmongering using technical jargon to sound credible while making impossible claims.,entertainment,2025-04-10
609abc2d,Text,Military power developing secret nuclear technology capable of manipulating financial markets,Fake,,No such event occurred on this date. Image circulated was from a different incident.,business,2025-04-12
2a9f3db4,Text,ALERT: Bottled water found to contain harmful additive linked to cognitive decline,Fake,,No such event occurred on this date. Image circulated was from a different incident.,space,2025-04-03
9b240351,Text,Scientists confirm common household item cures cancer in 99% of patients,Fake,,No such policy has been announced or is being planned. Classic conspiracy theory narrative.,security,2025-04-15
563cb73f,Text,New study finds children's toys emit carcinogenic particles that causes immune suppression in immunocompromised people,Fake,,No such law has been proposed or passed. Uses privacy concerns to spread false information.,education,2025-04-01
b2c4207f,Text,Health ministry to implement mandatory restricted travel starting next fiscal year,Fake,,Misrepresents how facial recognition works. Document cited is fabricated.,education,2025-04-09
42c7a6f2,Text,INSIDER REPORT: Retail empire to replace 83% of workforce with AI by 2028,Fake,,Misquotes public figure. Original statement was taken out of context.,environment,2025-04-01
d7b35e02,Text,Economic COLLAPSE imminent as Pension funds prepares to seize private savings,Fake,,Accusations not supported by evidence. No investigations have found such practices.,technology,2025-03-19
6a690d62,Text,Senator secretly met with extremist leader to discuss false flag operations,Fake,,Uses emotionally charged language and anonymous sources that cannot be verified.,sports,2025-03-26
234e919c,Text,CONFIRMED: Tech giant found to be using tax avoidance schemes in famous landmark,Fake,,No scientific evidence supports this claim. Study cited doesn't exist.,finance,2025-03-21
a4d0bb09,Text,Scientists confirm drinking lemon water with baking soda cures autoimmune disorders in 98% of patients,Fake,,Misrepresents scientific research; no credible studies support this claim. Uses conspiratorial framing.,environment,2025-04-12
85318acb,Text,INSIDER REPORT: Manufacturing conglomerate to replace 83% of workforce with AI by 2026,Fake,,No such event occurred on this date. Image circulated was from a different incident.,science,2025-03-29
0f675733,Text,Scientists baffled by time distortions appearing in historic site,Fake,,No such law has been proposed or passed. Uses privacy concerns to spread false information.,health,2025-03-20
d25ca925,Text,Anonymous whistleblower: Government agency has been concealing extraterrestrial contact for decades,Fake,,Misquotes public figure. Original statement was taken out of context.,politics,2025-04-08
3fc9d919,Text,New law allows WHO to revoke privileges for growing specific plants,Fake,,No such event occurred on this date. Image circulated was from a different incident.,politics,2025-04-15
60457f17,Text,Scientists baffled by mysterious structures appearing in major city,Fake,,Presents common routine occurrence as unusual or dangerous without scientific basis.,space,2025-03-26
4f08c869,Text,Mayor secretly met with infamous hacker to discuss surveillance program,Fake,,No such policy has been announced or is being planned. Classic conspiracy theory narrative.,security,2025-03-17
24fa4fdf,Text,"BREAKING: Medical team discovers that electronic device disrupts 93% of cancer risk, State officials suppressing evidence",Fake,,No scientific evidence supports this claim. Study cited doesn't exist.,business,2025-04-01
bcc0bd48,Text,A-list actor reveals shocking truth about entertainment industry: 'People would revolt if they knew',Fake,,Misquotes public figure. Original statement was taken out of context.,entertainment,2025-03-28
0c230e43,Text,"BREAKING: Investigative committee discovers that vitamin D triggers 85% of immune response, Global consortium suppressing evidence",Fake,,Presents common typical pattern as unusual or dangerous without scientific basis.,science,2025-04-08
99832d05,Text,Economic COLLAPSE imminent as Pension funds prepares to manipulate interest rates,Fake,,No scientific evidence supports this claim. Study cited doesn't exist.,celebrity,2025-03-28
12ba03d7,Text,"BREAKING: Scientists discovers that household spice accelerates 95% of brain function, Global consortium suppressing evidence",Fake,,No such incident occurred. Image used was from an unrelated event.,business,2025-04-07
4b24e998,Text,Economic COLLAPSE imminent as International monetary fund prepares to freeze all assets,Fake,,Misrepresents how machine learning works. Document cited is fabricated.,technology,2025-03-31
1dcab0c8,Text,Anonymous whistleblower: Educational system has been manipulating statistical data for decades,Fake,,No such incident occurred. Image used was from an unrelated event.,finance,2025-04-06
43e4a168,Text,New study finds pet food emit nanobots that causes psychological dependency in children,Fake,,Misquotes public figure. Original statement was taken out of context.,politics,2025-04-10
bb927eb6,Text,Economic COLLAPSE imminent as Major investment firm prepares to collapse the currency,Fake,,Dangerous health misinformation. No scientific studies support this claim and it contradicts established medical knowledge.,business,2025-03-17
07e1f2ea,Text,"EXCLUSIVE: President announces surprise disrupts, cites 'ancient prophecy' as reason",Fake,,No such policy has been announced or is being planned. Classic conspiracy theory narrative.,space,2025-04-07
93139b94,Text,Scientists confirm specific vitamin combination cures arthritis in 97% of patients,Fake,,Presents common routine occurrence as unusual or dangerous without scientific basis.,security,2025-03-30
be52c012,Text,New study finds cosmetic products emit genetic modifiers that causes cognitive decline in immunocompromised people,Fake,,Misquotes public figure. Original statement was taken out of context.,politics,2025-03-19
d1a52902,Text,CONFIRMED: Medical team found to be using tax avoidance schemes in government building,Fake,,No such policy has been announced or is being planned. Classic conspiracy theory narrative.,finance,2025-04-06
c0f6eb3e,Text,"LEAKED DOCUMENT: Tech conglomerate secretly mining personal data through smart speakers, State of emergency declared",Fake,,Misrepresents how GPS tracking works. Document cited is fabricated.,space,2025-03-19
1cc9d190,Text,Scientists confirm drinking lemon water with baking soda cures depression in 98% of patients,Fake,,Presents common statistical variation as unusual or dangerous without scientific basis.,business,2025-03-17
b18c4b99,Text,"EXCLUSIVE: Famous scientist announces surprise reverses, cites 'parallel universe evidence' as reason",Fake,,Presents common statistical variation as unusual or dangerous without scientific basis.,space,2025-03-17
a29701ad,Text,Regulatory body to implement mandatory digital identity starting new year,Fake,,Completely fabricated story with no basis in reality. No such announcement was made.,health,2025-04-15
97511686,Text,New study finds children's toys emit mind-altering waves that causes cognitive decline in teenagers,Fake,,Dangerous health misinformation. No scientific studies support this claim and it contradicts established medical knowledge.,environment,2025-03-21
7b788388,Text,"Famous musician detained for selling classified information, faces loss of license",Fake,,Uses emotionally charged language and anonymous sources that cannot be verified.,politics,2025-03-24
b9195025,Text,"LEAKED DOCUMENT: Scientific community secretly collecting DNA through smart speakers, Economy in ruins",Fake,,Classic fearmongering using technical jargon to sound credible while making impossible claims.,sports,2025-04-11
518a492e,Text,Solar flare Destroys major city! State of emergency declared. Government covering up actual environmental damage.,Fake,,Completely fabricated story with no basis in reality. No such announcement was made.,finance,2025-04-03
1ae5395b,Text,Doctors won't tell you: apple cider vinegar can eliminate {health_condition} overnight,Fake,,Accusations not supported by evidence. No investigations have found such practices.,sports,2025-03-29
b2587ba2,Text,CONFIRMED: Secret group found to be using child labor in government building,Fake,,Completely fabricated story with no basis in reality. No such announcement was made.,entertainment,2025-04-11
1a060f7b,Text,Doctors won't tell you: lemon water can eliminate {health_condition} overnight,Fake,,No such event occurred on this date. Image circulated was from a different incident.,celebrity,2025-04-05
cc6400d7,Text,"BREAKING: Whistleblower discovers that common herb eliminates 95% of viral infections, State officials suppressing evidence",Fake,,No such law has been proposed or passed. Uses economic anxiety to spread false information.,finance,2025-03-28
4c4600ef,Text,Hostile regime developing secret satellite weapon capable of disabling military systems,Fake,,Misrepresents scientific research; no credible studies support this claim. Uses conspiratorial framing.,technology,2025-03-31
acc97f64,Text,Health ministry to implement mandatory compulsory DNA collection starting next fiscal year,Fake,,No such incident occurred. Image used was from an unrelated event.,celebrity,2025-03-30
b33b419a,Text,Regulatory body to implement mandatory digital identity starting next administration,Fake,,No such policy has been announced or is being planned. Classic conspiracy theory narrative.,space,2025-03-20
36894280,Text,MP secretly met with radical activist to discuss surveillance program,Fake,,Misquotes public figure. Original statement was taken out of context.,sports,2025-03-21
ccea8411,Text,Meteor impact Destroys historic site! Infrastructure collapsed. Government covering up actual rescue efforts.,Fake,,Classic fearmongering using technical jargon to sound credible while making impossible claims.,politics,2025-04-01
ac334d12,Text,Scientists baffled by unidentified flying objects appearing in strategic facility,Fake,,Presents correlation as causation. Cherry-picks data while ignoring contradictory evidence.,space,2025-03-26
0f05318e,Text,Scientists baffled by unexplained disappearances appearing in historic site,Fake,,No scientific evidence supports this claim. Study cited doesn't exist.,security,2025-04-11
52b3f0c3,Text,URGENT: Smartphone model recalled after being linked to mandatory public apology,Fake,,Classic fearmongering using technical jargon to sound credible while making impossible claims.,sports,2025-04-07
9a9ddf0e,Text,ALERT: Breakfast cereal found to contain synthetic hormone linked to genetic mutation,Fake,,Misrepresents how smartphone technology works. Document cited is fabricated.,celebrity,2025-03-17
821a517c,Text,Scientists baffled by strange light patterns appearing in tech headquarters,Fake,,Uses emotionally charged language and anonymous sources that cannot be verified.,politics,2025-03-15
5767fcd6,Text,"Famous tech CEO exposed for bribery scandal, faces community service",Fake,,No scientific evidence supports this claim. Study cited doesn't exist.,finance,2025-03-19
345c202e,Text,Economic COLLAPSE imminent as Central bank prepares to default on obligations,Fake,,Misrepresents scientific research; no credible studies support this claim. Uses conspiratorial framing.,entertainment,2025-04-06
bb4c5c3f,Text,New law allows Regulatory body to public shaming for growing specific plants,Fake,,No such policy has been announced or is being planned. Classic conspiracy theory narrative.,technology,2025-03-22
23386992,Text,Central committee to implement mandatory microchipping starting July 2025,Fake,,Accusations not supported by evidence. No investigations have found such practices.,space,2025-04-08
5c4b9373,Text,"Famous musician arrested for identity theft scheme, faces house arrest",Fake,,Classic fearmongering using technical jargon to sound credible while making impossible claims.,space,2025-03-16
b2975e41,Text,"BREAKING: Expert panel discovers that specific food prevents 92% of brain function, International agency suppressing evidence",Fake,,Classic fearmongering using technical jargon to sound credible while making impossible claims.,sports,2025-04-07
29a3a154,Text,ALERT: Pet food found to contain illegal compound linked to kidney failure,Fake,,Uses emotionally charged language and anonymous sources that cannot be verified.,celebrity,2025-04-10
63ee26d2,Text,Doctors won't tell you: cinnamon can eliminate {health_condition} overnight,Fake,,Uses emotionally charged language and anonymous sources that cannot be verified.,business,2025-04-04
4e072a7c,Text,Anonymous whistleblower: Medical establishment has been suppressing alternative energy for decades,Fake,,Dangerous health misinformation. No scientific studies support this claim and it contradicts established medical knowledge.,technology,2025-04-02
26381a4e,Text,Nuclear-capable state developing secret biological agent capable of controlling weather patterns,Fake,,Completely fabricated story with no basis in reality. No such announcement was made.,health,2025-03-15
7a5df360,Text,President secretly met with extremist leader to discuss surveillance program,Fake,,No such incident occurred. Image used was from an unrelated event.,celebrity,2025-03-15
b31699e9,Text,New law allows Federal authorities to community service for owning specific items,Fake,,No such incident occurred. Image used was from an unrelated event.,space,2025-03-15
ac5923ff,Text,Economic COLLAPSE imminent as National treasury prepares to collapse the currency,Fake,,Accusations not supported by evidence. No investigations have found such practices.,entertainment,2025-03-30
5909611d,Text,Flood Destroys strategic facility! Communication networks down. Government covering up actual environmental damage.,Fake,,Classic fearmongering using technical jargon to sound credible while making impossible claims.,finance,2025-04-12
6b9689bb,Text,Anonymous whistleblower: Medical establishment has been distorting historical facts for decades,Fake,,Completely fabricated story with no basis in reality. No such announcement was made.,disaster,2025-04-09
0afacd4a,Text,Doctors won't tell you: honey can eliminate {health_condition} overnight,Fake,,No scientific evidence supports this claim. Study cited doesn't exist.,finance,2025-04-06
d0a81617,Text,"BREAKING: Secret group discovers that smartphone app disrupts 97% of memory loss, Federal authorities suppressing evidence",Fake,,No such event occurred on this date. Image circulated was from a different incident.,environment,2025-03-25
02024efb,Text,"LEAKED DOCUMENT: Medical establishment secretly collecting DNA through mobile phones, Communication networks down",Fake,,Presents common normal reaction as unusual or dangerous without scientific basis.,politics,2025-03-21
e0811f3f,Text,"EXCLUSIVE: Celebrity announces surprise disrupts, cites 'parallel universe evidence' as reason",Fake,,Presents common regular fluctuation as unusual or dangerous without scientific basis.,business,2025-03-17
de4d4d54,Text,"LEAKED DOCUMENT: Military complex secretly conducting experiments through public water supply, Communication networks down",Fake,,Accusations not supported by evidence. No investigations have found such practices.,technology,2025-03-21
ba347927,Text,Prime Minister secretly met with conspiracy theorist to discuss surveillance program,Fake,,Accusations not supported by evidence. No investigations have found such practices.,disaster,2025-04-02
f42974bd,Text,Popular influencer reveals shocking truth about banking system: 'Everything you know is a lie',Fake,,Completely fabricated story with no basis in reality. No such announcement was made.,science,2025-03-28
0b338084,Text,Hostile regime developing secret nuclear technology capable of manipulating elections globally,Fake,,Completely fabricated story with no basis in reality. No such announcement was made.,technology,2025-04-11
ce0e7823,Text,Opposition leader secretly met with conspiracy theorist to discuss false flag operations,Fake,,Misrepresents scientific research; no credible studies support this claim. Uses conspiratorial framing.,disaster,2025-03-26
b0ea82cb,Text,"EXCLUSIVE: President announces surprise transforms, cites 'supernatural encounter' as reason",Fake,,Presents common typical pattern as unusual or dangerous without scientific basis.,entertainment,2025-03-27
4430c121,Text,Scientists baffled by strange light patterns appearing in historic site,Fake,,Accusations not supported by evidence. No investigations have found such practices.,celebrity,2025-03-30
b339428e,Text,CONFIRMED: Medical team found to be using price fixing in international airport,Fake,,Misrepresents scientific research; no credible studies support this claim. Uses conspiratorial framing.,environment,2025-04-11
3c609564,Text,Anonymous whistleblower: Government agency has been hiding breakthrough cures for decades,Fake,,No such incident occurred. Image used was from an unrelated event.,science,2025-03-18
0d44a531,Text,Doctors won't tell you: coconut oil can eliminate {health_condition} overnight,Fake,,Classic fearmongering using technical jargon to sound credible while making impossible claims.,technology,2025-03-16
123e3130,Text,"BREAKING: Expert panel discovers that smartphone app eliminates 78% of memory loss, United Nations suppressing evidence",Fake,,Classic fearmongering using technical jargon to sound credible while making impossible claims.,disaster,2025-03-25
79944581,Text,Global consortium to implement mandatory compulsory DNA collection starting next quarter,Fake,,Dangerous health misinformation. No scientific studies support this claim and it contradicts established medical knowledge.,space,2025-04-13
3176c6f4,Text,Economic COLLAPSE imminent as Global financial system prepares to cancel all debts,Fake,,Misrepresents how data processing works. Document cited is fabricated.,technology,2025-03-27
6b58b498,Text,Reality TV star reveals shocking truth about pharmaceutical business: 'It's all about to collapse',Fake,,Accusations not supported by evidence. No investigations have found such practices.,technology,2025-04-03
8ec98c37,Text,Regional ally developing secret electromagnetic pulse device capable of altering genetic code remotely,Fake,,Completely fabricated story with no basis in reality. No such announcement was made.,finance,2025-03-21
74525e0b,Text,URGENT: Household cleaner recalled after being linked to extradition,Fake,,Completely fabricated story with no basis in reality. No such announcement was made.,security,2025-04-07
e15811b6,Text,Anonymous whistleblower: Educational system has been hiding breakthrough cures for decades,Fake,,Accusations not supported by evidence. No investigations have found such practices.,entertainment,2025-04-04
c99d31ac,Text,"BREAKING: Expert panel discovers that wearable device prevents 92% of memory loss, International agency suppressing evidence",Fake,,Misrepresents how cloud storage works. Document cited is fabricated.,science,2025-03-23
27893f5a,Text,Mayor secretly met with extremist leader to discuss censorship initiative,Fake,,Misrepresents how encryption works. Document cited is fabricated.,space,2025-03-16
463f5e39,Text,New study finds household plants emit carcinogenic particles that causes organ failure in urban populations,Fake,,Misrepresents how smartphone technology works. Document cited is fabricated.,disaster,2025-04-08
1d696fa9,Text,Doctors won't tell you: ginger can eliminate {health_condition} overnight,Fake,,No such law has been proposed or passed. Uses political division to spread false information.,sports,2025-04-10
97536837,Text,URGENT: Bottled water brand recalled after being linked to mandatory public apology,Fake,,Completely fabricated story with no basis in reality. No such announcement was made.,celebrity,2025-04-08
67d07967,Text,Anonymous whistleblower: Military complex has been distorting historical facts for decades,Fake,,Misrepresents scientific research; no credible studies support this claim. Uses conspiratorial framing.,finance,2025-03-20
0bdbe673,Text,Economic COLLAPSE imminent as Major investment firm prepares to implement digital currency,Fake,,No such policy has been announced or is being planned. Classic conspiracy theory narrative.,disaster,2025-04-07
af357689,Text,Developing nation developing secret satellite weapon capable of causing natural disasters,Fake,,No such incident occurred. Image used was from an unrelated event.,business,2025-04-11
63686518,Text,New study finds bottled water emit behavioral manipulation signals that causes hormonal changes in people with certain blood types,Fake,,Presents common standard procedure as unusual or dangerous without scientific basis.,entertainment,2025-03-21
1fa411bd,Text,New study finds cosmetic products emit radiation that causes psychological dependency in specific ethnic groups,Fake,,Misrepresents scientific research; no credible studies support this claim. Uses conspiratorial framing.,sports,2025-03-29
c8354706,Text,Scientists baffled by unexplained animal behavior appearing in famous landmark,Fake,,Classic fearmongering using technical jargon to sound credible while making impossible claims.,disaster,2025-04-12
54461a38,Text,New study finds children's toys emit carcinogenic particles that causes behavioral disorders in people with certain blood types,Fake,,Presents correlation as causation. Cherry-picks data while ignoring contradictory evidence.,disaster,2025-03-20
ba59107e,Text,"EXCLUSIVE: Prime Minister announces surprise eliminates, cites 'supernatural encounter' as reason",Fake,,Presents correlation as causation. Cherry-picks data while ignoring contradictory evidence.,health,2025-03-25
9fc3c596,Text,Economic COLLAPSE imminent as International monetary fund prepares to cancel all debts,Fake,,No such incident occurred. Image used was from an unrelated event.,health,2025-04-15
2c22fa4a,Text,Influential politician reveals shocking truth about food industry: 'The cover-up is massive',Fake,,No scientific evidence supports this claim. Study cited doesn't exist.,technology,2025-04-15
f77b3c9b,Text,Party chief secretly met with extremist leader to discuss election interference,Fake,,Uses emotionally charged language and anonymous sources that cannot be verified.,education,2025-04-12
bf172784,Text,Scientists confirm ancient remedy cures obesity in 89% of patients,Fake,,Accusations not supported by evidence. No investigations have found such practices.,business,2025-04-15
82156562,Text,Economic COLLAPSE imminent as Cryptocurrency exchange prepares to restrict withdrawals,Fake,,No such law has been proposed or passed. Uses social unrest to spread false information.,finance,2025-04-10
f34680a6,Text,"BREAKING: Government agency discovers that everyday activity prevents 85% of genetic disorders, Global consortium suppressing evidence",Fake,,Presents correlation as causation. Cherry-picks data while ignoring contradictory evidence.,environment,2025-04-01
d5b079e5,Text,Nuclear incident Destroys tech headquarters! Communication networks down. Government covering up actual damage costs.,Fake,,No such law has been proposed or passed. Uses public health fears to spread false information.,politics,2025-04-04
fb8f350b,Text,Scientists confirm common household item cures obesity in 94% of patients,Fake,,No scientific evidence supports this claim. Study cited doesn't exist.,entertainment,2025-03-17
70fbab4c,Text,Doctors won't tell you: cinnamon can eliminate {health_condition} overnight,Fake,,Dangerous health misinformation. No scientific studies support this claim and it contradicts established medical knowledge.,education,2025-04-07
eabd287e,Text,Anonymous whistleblower: Scientific community has been distorting historical facts for decades,Fake,,Misquotes public figure. Original statement was taken out of context.,entertainment,2025-04-08
d682d8fc,Text,URGENT: Car model recalled after being linked to lifetime ban,Fake,,No such policy has been announced or is being planned. Classic conspiracy theory narrative.,security,2025-03-27
e5f5323d,Text,New law allows Government to mandatory registration for exceeding online time limits,Fake,,Presents correlation as causation. Cherry-picks data while ignoring contradictory evidence.,environment,2025-04-14
bc272c70,Text,Top athlete reveals shocking truth about food industry: 'Everything you know is a lie',Fake,,No such event occurred on this date. Image circulated was from a different incident.,environment,2025-04-08
94bb2a2c,Text,CONFIRMED: Scientists found to be using toxic waste dumping in government building,Fake,,Presents common typical pattern as unusual or dangerous without scientific basis.,business,2025-03-30
d380bda3,Text,Scientists baffled by unexplained animal behavior appearing in strategic facility,Fake,,Presents correlation as causation. Cherry-picks data while ignoring contradictory evidence.,education,2025-03-27
0fb26a40,Text,"LEAKED DOCUMENT: Major corporation secretly altering memories through popular websites, Infrastructure collapsed",Fake,,No scientific evidence supports this claim. Study cited doesn't exist.,security,2025-04-03
88bcc4a9,Text,"EXCLUSIVE: CEO announces surprise eliminates, cites 'health conspiracy' as reason",Fake,,Misquotes public figure. Original statement was taken out of context.,disaster,2025-03-30
538d2796,Text,ALERT: Popular smartphone found to contain banned chemical linked to blood disorder,Fake,,Misrepresents scientific research; no credible studies support this claim. Uses conspiratorial framing.,business,2025-03-16
62f1a4f7,Text,Economic COLLAPSE imminent as Global financial system prepares to manipulate interest rates,Fake,,Uses emotionally charged language and anonymous sources that cannot be verified.,environment,2025-03-25
aba0ec63,Text,Scientists confirm common household item cures anxiety in 98% of patients,Fake,,Misrepresents scientific research; no credible studies support this claim. Uses conspiratorial framing.,environment,2025-04-08
ab72e0b9,Text,"LEAKED DOCUMENT: Major corporation secretly manipulating emotions through wearable technology, State of emergency declared",Fake,,Misquotes public figure. Original statement was taken out of context.,business,2025-04-03
bfb75916,Text,Economic COLLAPSE imminent as Credit institution prepares to freeze all assets,Fake,,Dangerous health misinformation. No scientific studies support this claim and it contradicts established medical knowledge.,security,2025-03-30
61f57b9e,Text,ALERT: Skincare product found to contain radioactive material linked to kidney failure,Fake,,Presents correlation as causation. Cherry-picks data while ignoring contradictory evidence.,education,2025-03-21
2fe7af84,Text,"EXCLUSIVE: Political leader announces surprise transforms, cites 'ancient prophecy' as reason",Fake,,Classic fearmongering using technical jargon to sound credible while making impossible claims.,entertainment,2025-03-16
4ca63659,Text,"BREAKING: Expert panel discovers that electronic device disrupts 95% of COVID cases, International agency suppressing evidence",Fake,,Presents common side effect as unusual or dangerous without scientific basis.,disaster,2025-03-21
ac7e2bef,Text,URGENT: Popular pain reliever recalled after being linked to lifetime ban,Fake,,No such policy has been announced or is being planned. Classic conspiracy theory narrative.,science,2025-03-15
cde03214,Text,Anonymous whistleblower: Major corporation has been suppressing alternative energy for decades,Fake,,No such law has been proposed or passed. Uses political division to spread false information.,disaster,2025-04-10
b0d7dbfb,Text,Economic COLLAPSE imminent as Global financial system prepares to cancel all debts,Fake,,Presents correlation as causation. Cherry-picks data while ignoring contradictory evidence.,entertainment,2025-04-11
4684999f,Text,New law allows Federal authorities to mandatory registration for owning specific items,Fake,,Misrepresents how data processing works. Document cited is fabricated.,politics,2025-03-28
41b86355,Text,New law allows Regulatory body to public shaming for growing specific plants,Fake,,Accusations not supported by evidence. No investigations have found such practices.,technology,2025-04-07
6ceb236d,Text,Economic competitor developing secret sonic weapon capable of manipulating financial markets,Fake,,Classic fearmongering using technical jargon to sound credible while making impossible claims.,environment,2025-03-29
2af400b9,Text,"LEAKED DOCUMENT: Government agency secretly conducting experiments through public water supply, Communication networks down",Fake,,No such law has been proposed or passed. Uses public health fears to spread false information.,celebrity,2025-03-30
86a76c31,Text,Economic competitor developing secret electromagnetic pulse device capable of disabling military systems,Fake,,Classic fearmongering using technical jargon to sound credible while making impossible claims.,security,2025-03-22
